1708140731.711486 P  %CPU     PID USER      PR  NI    VIRT    RES    SHR S  %MEM     TIME+ COMMAND
1708140814.865810 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   1:23.37 test-cpu-determinism.clogt.exe
1708140815.912758 4  99.0   72353 root       0 -20    8380   1124   1020 R   0.0   1:24.41 test-cpu-determinism.clogt.exe
1708140816.959041 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   1:25.46 test-cpu-determinism.clogt.exe
1708140818.006493 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   1:26.51 test-cpu-determinism.clogt.exe
1708140819.054006 4  99.0   72353 root       0 -20    8380   1124   1020 R   0.0   1:27.55 test-cpu-determinism.clogt.exe
1708140820.101545 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   1:28.61 test-cpu-determinism.clogt.exe
1708140821.154601 4  99.0   72353 root       0 -20    8380   1124   1020 R   0.0   1:29.65 test-cpu-determinism.clogt.exe
1708140822.214566 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   1:30.71 test-cpu-determinism.clogt.exe
1708140823.268938 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   1:31.77 test-cpu-determinism.clogt.exe
1708140824.325227 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   1:32.83 test-cpu-determinism.clogt.exe
1708140825.379645 4  99.1   72353 root       0 -20    8380   1124   1020 R   0.0   1:33.88 test-cpu-determinism.clogt.exe
1708140826.427882 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   1:34.93 test-cpu-determinism.clogt.exe
1708140827.476519 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   1:35.97 test-cpu-determinism.clogt.exe
1708140828.524171 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   1:37.02 test-cpu-determinism.clogt.exe
1708140829.571945 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   1:38.07 test-cpu-determinism.clogt.exe
1708140830.619066 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   1:39.12 test-cpu-determinism.clogt.exe
1708140830.619086 4   1.0   64015 root      20   0       0      0      0 I   0.0   0:00.14 [kworker/4:2-events]
1708140831.665683 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   1:40.16 test-cpu-determinism.clogt.exe
1708140832.714806 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   1:41.21 test-cpu-determinism.clogt.exe
1708140833.769806 P  %CPU     PID USER      PR  NI    VIRT    RES    SHR S  %MEM     TIME+ COMMAND
